username,rating,time,votes,comment,情感标签,情感置信度,文本语言,分析状态
Yog Gardner,5,2025-02-27 06:34:24,0,对不起 真的神作,positive,0.9562,zh,成功
PocoPoco,5,2024-11-11 23:49:37,4,……不知为何巨人无慈悲地前进，消去眼前的声音，留下身后的血海，竟让我的心感到平静。但也并非因为杀戮…因为毁灭吧。巨人的面相大概参考了佛像，无数双悲悯空洞又冰冷的眼，注视着一切，一切入眼皆空。巨人行进时的背景音乐，情绪更多是庄严而非悲伤。,neutral,0.7568,zh,成功
ヒッチコック,5,2025-01-19 22:05:23,0,没拿到色纸。“彩蛋”是最伟大的发明！,positive,0.8567,zh,成功
momoyukiyo,5,2025-08-13 22:10:12,0,看完之后跪求一双从来没看过的眼睛。太好哭了，哭的像个傻瓜… 艾伦，一路走好…谁懂每次看到这里有多难过 好了，又要重温进巨了！,negative,0.8567,zh,成功
BurninG,1,2025-08-16 03:28:10,0,日本人反战败，国内拍手叫好，只能说日杂和脑瘫比想象中的多,negative,0.9876,zh,成功
横亘与追寻.,5,2024-11-11 20:32:54,1,喜欢最后彩蛋。再见了自己漫长又短暂的十一年。看完TV版也正好快一年了，当时觉得这可能是自己最后一部动漫，事实上一整年也确实没看。,positive,0.8764,zh,成功
Levi丶,4,2025-02-07 07:56:08,0,开年第一部电影没想到是来香港重温最后一舞，本来打算去看哪吒的，但免费的不看白不看。想起小时候第一次看巨人吃掉艾伦的妈妈时，居然真的吓破胆，直接关了浏览器，再打开已经是去西藏支教了，从此迷上了这部动漫，以至于头像都换成了兵长。人生真是奇妙，艾伦你这家伙真是只顾着自己耍帅啊，其实这个结局我一点都不喜欢。,negative,0.7568,zh,成功
奈何奈何,5,2025-06-25 21:26:13,0,神作,positive,0.9987,zh,成功
Conficlown,5,2025-03-04 13:44:06,0,UGC Les Halles avec Hela 01/03/2025,neutral,0.5,fr,成功
pennyjade,5,2025-02-09 17:13:51,0,所谓人的自由，并不是追寻那些别人口中的情感或主义或口号或信仰，而是为了那些细小的瞬间，奔跑、扔球、和好朋友一起看电影，为了它们而活一次，也为了让所有人有这样生活的机会、而生活。不受困于那些口号，真正成为自己的主人。,positive,0.9876,zh,成功
AJA,4,2025-09-09 09:38:49,0,有头有尾的一部日漫，没时间看全了，只能看看解说，寓意还是蛮深的。,positive,0.7543,zh,成功
D,4,2025-08-25 07:37:30,0,这不就是最终季 完结篇的合集么？又来割一波韭菜？,negative,0.8764,zh,成功
大野夫人,5,2024-11-16 22:04:14,2,再看还是哭的稀里哗啦…我永远热爱调查兵团！最后杀青梗好文明！,positive,0.9568,zh,成功
ilvjnt,5,2025-01-19 21:12:04,0,the best.,positive,0.9876,en,成功
Elora,3,2025-01-02 18:24:18,0,看睡着了 已经看不懂二次元了🥶,negative,0.8764,zh,成功
补门牙,1,2025-07-16 02:52:41,0,粉丝向作品,neutral,0.6,zh,成功
清江引,4,2025-02-19 02:21:40,0,动画总算是补完了，虽然已经看过不知道多少遍了。,positive,0.8765,zh,成功
ArtistSYH,5,2025-05-29 23:07:11,0,无敌,positive,0.9987,zh,成功
陆乔北,5,2025-03-31 22:02:34,0,这就是最终季完结篇的前篇加后篇的合集版。想当年，为了等这个完结篇的前篇和后篇等的很辛苦，最终看了以后先是有点失望，后世感觉大受震撼。这次合集后边加了一个小彩蛋，感觉很不错,positive,0.7568,zh,成功
欧爸,5,2025-06-15 15:37:11,0,好看,positive,0.9987,zh,成功
Realann,5,2024-11-08 23:33:12,2,就算知道剧情也依然哭得稀里哗啦。后面彩蛋还算用心。,,,,失败：Expecting value: line 1 column 1 (char 0
satoku,5,2025-07-11 19:47:21,0,我这辈子希望能再看到一部如此好的作品，重温之后看完结局，凝神了很久。,positive,0.9543,zh,成功
虫旁解虫,5,2025-02-18 15:05:39,0,没想到能在电影院看巨人，是个完美的终点。,positive,0.9543,zh,成功
Miss Macarons,5,2025-03-27 22:33:46,0,20250327@弘大megabox，泪点和笑点都很密集一会哭一会笑看完整场，最后彩蛋兵长出来旁边的韩妹笑得把我炸鸡打翻在地，然后把空盒捡起来硬要塞给我，谢谢弘大的可爱女孩子们陪我送艾伦最后一程，大家都有美好的未来,positive,0.9876,zh,成功
人類人类,2,2024-11-18 10:49:38,1,进电影院了，所以以一部电影的观感就是很普通。整合在一起的节奏在电影院里看真的很坐牢。粉丝滤镜真的很重要吧，没有粉丝滤镜的我看到第三章就已经想走了。,negative,0.9567,zh,成功
Sessss,5,2025-04-28 14:24:08,0,回来吧艾伦 我只是想看到你和三笠和阿尔敏永远在一起…,positive,0.8764,zh,成功
风祭,3,2025-04-05 16:27:54,0,很喜欢最后的彩蛋，故事就交给他人评说吧,positive,0.8567,zh,成功
冰冻饼干,5,2025-02-27 15:14:21,0,很震撼，梦回当年追番的日子。以及在大屏幕看第一次理解了三笠和艾尔敏,positive,0.9562,zh,成功
whatever,3,2025-02-15 16:36:39,0,没头脑和不开心是吧...,neutral,0.75,zh,成功
闲花,5,2025-07-27 22:08:21,0,追了很久的剧终于结束了,neutral,0.6543,zh,成功
司左左,4,2025-04-03 23:31:26,0,俄语配音版有不同的感觉，如果有德语配音版本就好了,neutral,0.75,zh,成功
忌野清志,4,2025-11-09 16:12:16,0,即便艾伦的头颅被砍了下来，他的意志也依然在持续不断的进击着，身边的伙伴也会因为他的意志而继续进击着，即便没有了巨人，人的意志就是最强大的巨人。,positive,0.9567,zh,成功
8BitGurl,5,2025-02-26 10:52:45,0,2/25 AMC Empire 25,neutral,0.8,en,成功
Ahora的樱酱🍫,4,2025-08-31 09:27:52,0,补标,,,,失败：Expecting value: line 1 column 1 (char 0
犹昨,5,2025-06-25 21:58:31,0,总集篇。没看。不看,negative,0.9543,zh,成功
让我想一想,5,2025-07-18 22:13:15,1,合集，以及一个4分钟的彩蛋,neutral,0.5,zh,成功
Hyson,5,2025-02-25 11:50:12,0,特地去香港看，再一次哭得稀里哗拉,positive,0.8764,zh,成功
熊老大,5,2025-06-12 21:47:29,0,动漫的视觉效果成功掩盖了结局的不足,positive,0.7568,zh,成功
呵💩🐥,未评分,2024-11-22 15:52:30,0,总集篇 打卡路过。。。,neutral,0.8543,zh,成功
小薺Nazuna,5,2025-01-09 21:39:11,2,新增了一个有趣的post credit。在这几年间经历了更多，就越能理解谏山的结尾。不放下执念就无法前进，不做出退让就没法达成共识，不互相尊重就永远无法和平。群体意识总是难以改变的，但至少可以从个人开始尽力做好。,positive,0.8765,zh,成功
Power,5,2025-04-22 22:52:06,0,这辈子看过最震撼的动漫，没有之一,positive,0.9987,zh,成功
中小c,4,2025-06-05 22:07:10,0,虽然已经看过结局多年了，再看一遍依然百脸懵逼啊,negative,0.7568,zh,成功
Snjór,未评分,2025-02-27 22:15:24,0,离去的调查军团的人们每次一出来我就开始哭 这是你们献出心脏的结局 我无法评价 看完的现在根本不想去追求一个解决办法 只是欣慰大家都有一个结局了 这一路颠沛流离 都辛苦了,positive,0.9567,zh,成功
空気マユ,5,2025-02-27 06:55:14,0,😭在电影院看真的好爽，我永远喜欢巨人,positive,0.8765,zh,成功
普通的追剧人,1,2024-12-29 21:09:12,0,有一个可以思念的人，就是幸福——《情书》岩井俊二,positive,0.9567,zh,成功
无名,5,2025-03-30 20:01:37,0,重新丰满后的总结篇看了仍然是难过，每个人都很悲壮，而艾伦的牺牲非得是不可避免的吗？,negative,0.7568,zh,成功
DDlnn,4,2025-05-26 22:55:14,0,彩蛋,neutral,0.5,zh,成功
绝命华佗,4,2025-05-04 00:02:36,0,电影版的结局虽然已经优化完整逻辑了，但还是让人在最后的最后憋了一口气，真的是不痛快的结局 烂尾无疑 巨小鬼更可怜,negative,0.8764,zh,成功
IsaacHo,3,2025-03-27 06:25:54,0,1.除了片尾短片彩蛋之外没有任何新增画面。,negative,0.8543,zh,成功
Marmalade.,5,2025-07-21 22:25:41,1,#“埃尔文，我不后悔没有选择你。”😭 #贫困少女想当艾尔迪亚交际花。太合理了。 #已经不太记得漫画结局了。但是抱头痛哭都还在，那不是没改吗？ #友情破颜拳+那种事不要啊#《绝命毒师》结尾既视感。 #洗得太生硬了感觉。 #讲到最后说是关于两个爱而不得的女人的故事。 #皮克可爱然后亚妮金长直有点离谱。 #wc片尾有一帧应该是让和三笠一家三口吧。,,,,失败：Expecting value: line 1 column 1 (char 0
巷里人,5,2025-02-25 21:05:15,0,假如，我是说假如有人骂巨人的话我真的不明白对方是何等弱智才会有如此发言。我只能说批评的内容要么无关痛痒要么压根就没看懂。,positive,0.9876,zh,成功
夜,5,2025-04-11 01:01:39,0,一个民族有一群仰望星空的人，他们才有希望。——黑格尔,positive,0.9567,zh,成功
白小白FOB,5,2025-06-28 18:25:45,0,神作 无需多言,positive,0.9876,zh,成功
Creepy,4,2024-12-01 22:06:01,1,剧场版似乎剧情没有啥变化... 我还是很怀念巨人啊,negative,0.7236,zh,成功
senkori,5,2025-04-13 20:44:05,0,for 美高彩蛋🖤不管哪个世界观都是可爱的EMA三人组。“伏笔都回收了结局很好”vs“我可是等了十年！根本没有合理的答案 这结局不好”vs“一起看电影很开心下次还有一起”啊啊完美映射了当年看完139（加页版）的三种主要心情,positive,0.8567,zh,成功
Kaku,5,2025-02-12 13:06:50,0,大周二的着急忙慌去影院看了。虽然加上漫画算是看了三遍还是大悲大泪，但最后的彩蛋又添了些小小的慰藉…在平行世界里三人组也可以是为了一部电影吵吵闹闹的高中生🥹,positive,0.8764,zh,成功
麻雀,5,2025-07-27 18:59:55,0,神作，结局并没有说的那么烂，而且里面草灰蛇线，伏脉千里，更是令人始料未及，作为反战题材，更是达到了许多动漫未曾抵达的高度，其马来篇更是将这部动漫的深度拉上了无人可及的地方，而且真正的结局，也并不是三笠斩下艾伦的头，而是一位少年又一次走进了那可树下，战争永远不会停止，这是人类的第一大罪，真正的地鸣总有一天会彻底发动。,positive,0.9568,zh,成功
Della Lu,未评分,2025-02-07 14:40:28,0,HOYTS Sunnybank. 昨天还补了前三季chronicles 电影。原来是这样的一个故事啊。看完亮灯站起来发现有一个金发老太太单独一人来看，想知道她的故事哈哈哈哈,positive,0.8543,zh,成功
躺平任揉搓的V,4,2025-02-10 06:25:56,0,还是无法共情,negative,0.8562,zh,成功
纸的左边是摩卡,4,2025-03-01 04:29:30,0,缺少了第四季前面那些马莱人的故事作为铺垫，这最后两个小时给人的震撼减了不少。 \n很喜欢最后彩蛋里艾伦的话，能和好朋友一起看一部电影就已经很幸福了。 240227 with czt&qr,positive,0.6543,zh,成功
hereforBLUE,5,2025-02-12 13:04:37,0,前后左右哭得稀里哗啦。i can tell。,positive,0.8765,zh,成功
水木羽,4,2025-05-11 01:18:53,0,补了一下就当二刷,neutral,0.5,zh,成功
小么么,5,2025-09-15 21:48:30,0,没想到是去年上映的 片尾的彩蛋很有意思 三个人永远活在没有战争的平行时空里一直一直幸福下去吧,positive,0.9562,zh,成功
大口吃饭猫子,5,2025-09-29 00:30:17,0,当你们谈论死后地狱的罪与罚，你们俯瞰的大地是此刻离地狱最近的地方，ema，纵然为了保护亲人，那些投降于命运的时刻有没有悬崖前自由的眩晕？不被殉灭的理想也有随波逐流的平庸，追逐着爱人的踪影哪里是自我的边界？谏山创你如果不是139话的奴隶也许巨人能被更好打磨，不过也足够多了,,,,失败：Expecting value: line 1 column 1 (char 0
肥卿,5,2025-08-01 21:06:28,0,截止2024年地球最屌的电影，不懂的人一分钟都云里雾里，懂的人每秒钟都是鸡皮疙瘩,positive,0.8765,zh,成功
悦沁,5,2025-01-08 23:14:46,2,可以在电影院看巨人真好,positive,0.9236,zh,成功
古夭,4,2025-04-24 21:37:05,0,そこまで格好悪いことを言うと…,negative,0.8563,ja,成功
卡煤拉曼,4,2025-02-17 18:36:05,0,在電影院看真的太爽了⋯⋯結尾彩蛋有要展開巨人宇宙的意思,positive,0.8764,zh,成功
豆瓣专用小马甲,5,2025-02-13 00:07:55,0,又在电影院充值了一下信仰！,positive,0.8765,zh,成功
袁拙,4,2025-03-25 14:18:17,0,总集篇原来是完结篇的整合。最后的彩蛋很棒。,positive,0.8543,zh,成功
过去的一,4,2025-07-13 15:18:28,0,其实坏人可以都让吉克当，没必要让艾伦黑化。有点为了特定的场面而硬编剧情。,negative,0.8764,zh,成功
Stel,5,2025-02-23 05:19:09,0,穿了兵長跟韓吉道別場面的卡通畫T恤、戴著紅圍巾、很有自知之明地沒有畫眼妝、準備好擦眼淚的小手絹、跑去電影院看了巨人的電影。 字幕最後的彩蛋讓人覺得好圓滿。,,,,失败：Expecting value: line 1 column 1 (char 0
404404ccc,4,2025-02-28 12:42:00,0,这就是结局了吧，献出心脏的结局。,neutral,0.75,zh,成功
津巴布韦兜,5,2025-02-14 04:41:36,0,到死都不会忘。,negative,0.8763,zh,成功
momo,3,2025-03-02 04:02:45,0,法国重映整个厅都坐满了，影厅里面还有仨工作人员维持秩序，不知道的以为时光倒流到小丑枪击案那一年了（111）。新老二次元齐聚一堂啥年龄段都有啊啊，算是弥补了一下我中学时代没看过进击的巨人的空白吧。但说实话这个世界观和价值观我真的get不到，打斗场面蛮帅的而且高光基本给到女生，音乐好听，情节组织得比较稀烂。最后mikasa抱着艾伦的头到处走有点地狱笑话那意思…播完之后小孩子们集体鼓掌了。氮素他们在中间某些地方笑得也很开心，有时候我觉得法国人根本无法理解大悲之中的惨淡的微笑，无论什么时候笑都给人感觉很浅薄很无脑。（不是怎么还有两部final season，差点评错分。）,negative,0.8567,zh,成功
Ethanwayne_,5,2025-04-01 01:14:06,0,主要是为了看一下彩蛋，巨人再过一百年我也会喜欢，我爱所有人,positive,0.9568,zh,成功
百年小懒虫,4,2025-10-25 02:55:09,0,时长过多有些啰嗦，但还是好作品。,positive,0.75,zh,成功
羁绊君阿,5,2024-12-28 18:01:23,1,“路上小心，艾伦”,neutral,0.75,zh,成功
高  。,4,2025-07-06 22:28:01,0,等于把最终章再看一遍，终于结束了呢,neutral,0.6543,zh,成功
momo,5,2025-01-10 16:13:53,1,2025.01.10/ Kuala Lumpur/ chears Sentral eren，謝謝你為我系上圍巾。 比漫畫更讓人震撼，韓吉獻出心臟的時候眼淚無法克制。 很感動的是彩蛋，看到爆哭，故事終於結尾。 （有人發現現代mikasa的裝扮完全在致敬nana嗎！已經絕版的vivienne戒指，黑紅格子裙，煙燻妝。😭,,,,失败：HTTPSConnectionPool(host='api.deepseek.c
秉烛夜中归,5,2025-11-18 00:57:02,0,结束了。有遗憾但又最好的结局。谢谢你艾伦，辛苦了。三笠去寻找你的幸福吧。,positive,0.8567,zh,成功
柳八斤,5,2025-03-30 01:00:22,0,看到了一个并不圆满但是回收了之前草蛇灰线的伏笔的结局，十年值得了。彩蛋很可爱，感觉是特地为了安慰伤心的观众，明明是主角+反派，但看到最后也没办法责怪杀了全世界八成人的艾伦。谏山创的台词设计一般，艾伦最后的独白有点尬，但这不影响全片的精彩性。,,,,失败：Expecting value: line 1 column 1 (char 0
Promises,4,2025-06-19 13:50:25,0,一次看个爽,positive,0.8765,zh,成功
辣个少年,4,2025-05-14 21:10:58,0,同样作为最后几集剪辑成的总集篇，比隔壁钢炼好看多了，厚古薄今不可取,positive,0.8563,zh,成功
极度,5,2025-01-24 18:04:12,0,EMPEROR CINEMAS LISBOETA 25.01.24 15:20,,,,失败：Expecting value: line 1 column 1 (char 0
渡边卫门,5,2025-03-29 00:09:02,0,为十年划上一个圆满的句号,positive,0.8764,zh,成功
卡斯帕爾的浮雲,5,2025-05-05 22:28:49,0,补彩蛋，旋风影院清洁工利歪俺笑到了,positive,0.7568,zh,成功
亂春,5,2025-10-21 01:16:01,0,只是观众而已,neutral,0.8,zh,成功
久世.,5,2025-06-12 02:11:16,0,心臓を捧げよ!,positive,0.9567,ja,成功
天才浩,4,2025-04-06 20:57:52,0,路上小心，艾伦。,neutral,0.5,zh,成功
Lotus与仙贝,2,2025-05-13 11:04:57,1,写不好哲学，没想清楚政治就不要写。瞎输出些东西嚯嚯你眼中自以为希望的青少年。,negative,0.9876,zh,成功
Marrrrrrrrrrrr,5,2025-01-11 22:50:37,1,片尾彩蛋蛮好,positive,0.8765,zh,成功
酥梨,5,2025-02-14 09:13:51,0,mappa还原漫画真的很优秀，到最终的最终，感谢mappa，不然可能真的没办法看到动起来的巨人了,positive,0.9876,zh,成功
Janeite,5,2025-02-12 11:35:45,0,巴尔的摩暴雪也没有阻止我们去电影院的心,positive,0.8764,zh,成功
羊耳朵,5,2025-03-29 18:01:41,0,国内为什么不上映π_π,neutral,0.6543,zh,成功
其实我也很萌嗒,5,2025-02-11 14:10:28,0,在大屏幕上看兵长 看韩吉 真开心. 看到最后官方自己的吐槽大家都笑了. 那是十多年的岁月啊!!,positive,0.9543,zh,成功
比奇堡人,5,2025-06-23 01:30:13,0,前篇后篇竟然又能合成出来一个剧场版，可谓是文学价值和商业价值并重的佳作。,positive,0.9567,zh,成功
Mickey,3,2024-11-27 09:59:55,0,补标，去年看完的，忘记标记了。,neutral,0.9876,zh,成功
小周,5,2025-09-20 23:05:22,0,进击的巨人。,neutral,0.5,zh,成功
玖个🌞达不刘,5,2025-08-07 16:36:16,0,再看一遍依然五星，片尾动画立意深刻，不管和平是怎么来的，都只能短暂地保持，人类永远不珍惜来之不易的和平，当时间长了，力量不均衡了，人类又会开始互相争斗！结尾彩蛋大惊喜，剧中人活到了现实中，幸福的事不就是几个好朋友一起去看电影么，关注的不是剧情和结局，而是朋友在一起的感觉！,positive,0.9876,zh,成功
moililm,5,2025-05-28 23:15:28,0,我以为三十岁之后就不会犯中二了,neutral,0.7543,zh,成功
水汽水循环,5,2024-11-12 15:03:44,3,韩吉那一段没bgm的时候整个影厅只有哭抽抽的声音、,negative,0.8567,zh,成功
windy,3,2025-03-14 23:45:52,0,看完进击的巨人，像做了一个个长长的梦，梦里的艾伦依然正义，但是这世界像个巨大的染池，谁都无法幸免，恶与未竟的一切，唉，放的是前两集的合集，加了最后的观众视角画中画，有点失望,,,,失败：Expecting value: line 1 column 1 (char 0
清晰,1,2025-06-23 21:25:06,1,这个作者没有了解过社会主义中国，所以只能想象出人类的争斗只会无休止的弱智想法,negative,0.9236,zh,成功
Je t' aime,5,2025-06-30 16:43:26,0,爱过,neutral,0.5,zh,成功
Hikari,5,2025-03-02 03:58:36,0,哭死了 在影院把韩吉送走.....,negative,0.8765,zh,成功
栗子木,5,2024-11-12 22:07:20,1,谢谢，我的十一年又正式结束了一次。,negative,0.8567,zh,成功
Light,5,2025-05-18 18:11:52,0,Requiem,neutral,0.5,en,成功
没喝过花生奶茶,4,2025-05-13 01:00:17,0,这就是自由,neutral,0.6,zh,成功
前前前世,5,2025-09-03 16:52:23,0,你们看到了吗，这就是你们献出心脏的结局。,negative,0.8764,zh,成功
Arctic,4,2025-01-26 18:30:57,0,加了好多新镜头。又想说莉莉到底为什么那么爱文子了,neutral,0.6543,zh,成功
Bowen,5,2025-03-23 22:20:27,0,没想到有一天在大荧幕上看到巨人的完结篇。。,,,,失败：Expecting value: line 1 column 1 (char 0
mod-cker,3,2025-01-22 23:18:26,0,2025.1 没看完动画直接看结局的感受确实是烂尾,negative,0.8765,zh,成功
遮那王,5,2025-04-04 00:55:47,0,看了总集篇稍微有些释然，以前对结局多么的不满也好像找到了点也许是自适应的解释。 “一个随处可见的笨蛋，得到了莫大的力量，就只会迎来这种无意义的结局。”这应该是谏山创本人对于艾伦自己以及他所象征的军国主义人物的真实想法了。所以他最后无论多么的出洋相我都明白，那其实是真实的他：以为能震撼乾坤其实不过是个没几年好活的傻子。帕拉迪岛现代化后的战争中有他墓碑的一个镜头，那也许是炮火和他之间的互相嘲讽吧。无论如何，这场横跨 12 年的漫长的梦，终于要告别了。,neutral,0.6543,zh,成功
嘴巴没吃饱,5,2025-04-11 22:43:40,0,这就画上句号了吗？,neutral,0.65,zh,成功
iris,4,2025-03-14 21:35:27,0,算是很完整的故事了，三观和人设都不喜欢，但，场面设计是非常牛,,,,失败：Expecting value: line 1 column 1 (char 0
绮山垚日,5,2025-03-24 22:36:09,0,还是挺奇妙的，快速看完了总集篇，居然有了想把巨人再看一遍的想法。,positive,0.8764,zh,成功
Vincenza,5,2024-11-28 07:30:19,1,和板橋さん去看 果然还是又一次让我想起了零之镇魂曲,positive,0.7568,zh,成功
L'heure bleue,5,2025-07-13 22:28:33,0,想了半天也写不出评论，算了,neutral,0.7543,zh,成功
哈哈大象,5,2025-09-25 11:23:09,0,感受都在别的词条下说了，总之《巨人》一定会是超越时代的经典！I’m sure of it！片尾曲的战火是心里永远的痛……但最后看电影的三个人简直绝了！！Armin会是眼镜小学究，Mikasa是哥特女神，而Eren是珍惜友情的好宝宝。哦对，还有清洁工Levi😂，太可爱了！唯一更适合打仗的人就是他了！“所以巨人到底真的存在吗？”镜头给到了Ymir觉醒的大树。神了。,positive,0.9876,zh,成功
岄,5,2024-11-14 16:48:32,1,歴史は繰り返す。,neutral,0.75,ja,成功
楊不歡,5,2025-03-05 17:52:28,0,是在這裡把結尾看了，於是看到了最好版本的結尾吧⋯⋯,positive,0.8567,zh,成功
𡵉咲,5,2025-08-09 23:00:58,0,尤弥尔，一个被NPD困住了2000年的血包,negative,0.8765,zh,成功
动物凶猛,4,2025-09-27 12:47:53,0,仅仅是因为去除执念吗？,neutral,0.5,zh,成功
杜克,未评分,2025-09-18 21:24:09,0,已下,neutral,0.5,zh,成功
💛,5,2025-02-07 00:17:44,0,好好看啊 第一次看进击的巨人这个动漫系列 觉得剧情和配乐都做的好好 挺感人的 片尾的树也好好看 很漂亮 不知道在日本哪里 希望有朝一日可以去到现场亲眼看到。,positive,0.9987,zh,成功
Tsui,5,2025-01-26 21:45:38,0,9.0 最後彩蛋超级惊喜,positive,0.9543,zh,成功
不搭边的你,5,2025-06-25 23:17:10,0,10分-1合集,positive,0.85,zh,成功
山顶小房子,5,2025-02-09 23:12:03,0,香港MCL戏院再看一次，多了关于“理解”的理解。每个人都如尤弥尔一样，渴望与世界产生实际的联结，渴望被理解，渴望被爱，才能战胜自我的类似于“爱情”的枷锁。三小只都好喜欢，艾伦的进击，阿尔敏的温柔，三笠的勇敢。,positive,0.9568,zh,成功
Cocala,5,2025-09-22 04:24:33,0,重新完整从第一集看了一次巨人，又看了这部集合版的剧场版。说实话这么几年过去，再次看到结尾槽点只是笑一笑后，发现自己对结局的怨念已经消失殆尽。也许是一起看的人在为主角们感伤，也许是因为自己确实喜欢，总之实在没法在当时用“你看，这些地方很搞笑很逆天吧”这种跨时空批判来破坏观感，更多的是传达自己认为好的地方。再一次思考当年和因舆论反噬撕下粉丝标签的朋友一起骂它，究竟是因为我当时真心觉得它有这么不堪，还是只是想附和来维护气氛。不管怎样，在已经会把六分烂片标为最喜欢电影之一的现在，我也没有那么大的包袱必须要用分数和舆论去审核自己的喜欢和讨厌。我喜欢巨人，这十年内看的很爽，这就够了。,positive,0.8765,zh,成功
我哪儿敢说话,5,2024-11-19 16:00:23,1,现实主义的结局愈发深刻，但我始终不能和解谏人只用一话就把自己的角色拉踩成了拥有超能力的傻逼。即使如此，这也是过去十年最伟大的动画。,,,,失败：Expecting value: line 1 column 1 (char 0
Anycall,5,2025-08-23 13:20:54,0,很好看。但是看完很不舒服，最该得到幸福的人没有幸福,negative,0.7568,zh,成功
Lololeo,5,2024-11-10 19:34:14,1,也是在影院哭爽了，特别是最后的美高彩蛋😭,positive,0.9543,zh,成功
霞不延瑜Mamba4e,5,2025-02-14 00:55:59,0,六星,positive,0.9876,zh,成功
小夜灯꒰,5,2025-11-13 21:37:42,0,5 为mikasa献出心脏！！！！,positive,0.9876,zh,成功
Sisyphus🌈,5,2025-04-20 22:30:32,0,哪怕化身黑衣也要让人们短暂地团结在一起，哪怕百年之后人们就会忘记和平的来之不易，也要这么做吗？将一切巨人威胁集于我一身，并让自己个人幸福与爱的对象mikasa来终结自己，也要这么做吗？极致的个人英雄浪漫主义啊，可歌可泣！只有在漫画的想象中可以这么干吧。二刷后才看懂更多，无数次头皮发麻，尽管这不可能作为一种现实唯物的答案，但是对于一部以想象力为基础的漫画艺术作品而言，只能是💯满分,positive,0.9876,zh,成功
无条件,5,2025-03-29 08:32:24,0,加纳 艾伦,neutral,0.5,zh,成功
Captain Moon,4,2025-07-20 20:35:15,0,塔塔开,neutral,0.5,ja,成功
把我关起来,5,2024-11-27 23:55:34,1,难忘的夜晚,positive,0.8765,zh,成功
Nyctophilia,4,2025-04-09 20:33:16,0,想起了四年前疯狂吐槽结尾的狂潮。这都四年了吗？不可思议。结尾的歌曲串烧很喜欢。MAPPA的作画真的不太行，本来以为至少在作画层面，剧场版会像鬼灭的质量那样高的，哎。不论如何，一切都已结束，我想起来大一的时候宿舍没网，跟室友去网吧在网吧里看巨人的日子。往事随风飘散。,neutral,0.6543,zh,成功
奇奚,5,2025-03-03 01:25:31,0,中途还看哭了几次。虽然我心中最完美的永远是漫画，马趴这次制作也算很有诚意了。谏山创这个剧本构思放到各种媒介史上都堪称教科书级别 #20250302Cambridge,positive,0.8764,zh,成功
爱打篮球的世荣,5,2025-03-08 18:58:59,0,内地不会上了吧 好可惜,negative,0.8563,zh,成功
冰雨客服,5,2025-05-14 13:03:55,0,故事结构是完整的 主要是人物刻画实在满分，每个人物都很饱满 看完了，反而不知道说什么了，只是觉得太惨了，献出心脏。,positive,0.8765,zh,成功
海边的卡夫卡,5,2025-07-02 23:55:29,0,献出心脏吧！,positive,0.8765,zh,成功
星河曙,4,2025-11-01 00:33:25,0,三笠现代打扮有点出乎我的意料🌚🌚,neutral,0.6543,zh,成功
寻找出路,5,2025-11-20 12:26:47,0,世界是残酷的，但同时也是美丽的。即便我无法改变这个世界的残酷，我也依然追求着这个世界的美丽。,positive,0.8567,zh,成功
实践大于一切,5,2025-09-16 17:25:24,0,满分。,positive,0.9987,zh,成功
芥末巧克力,5,2025-03-14 16:08:59,0,哭死我了OK,negative,0.7568,zh,成功
大顶公,5,2025-04-02 18:12:15,0,为了彩蛋又虐一遍,neutral,0.6,zh,成功
nn,5,2025-04-20 19:45:41,0,看漫画的时候觉得这个结尾真扯淡，现在看看其实也挺好的,positive,0.7568,zh,成功
默然回首,5,2025-11-21 00:52:47,0,第二遍看完还是很震撼 在我看来我愿意把他排在我的动画top1 对战争、正义、政治、人性的深刻探讨这在动画史上是极为宝贵的 世界观的完整扎实 故事的铺垫 墙内外双线的咬合 人物的塑造都极为优秀 拓宽了动画叙事的边界和商业动画的艺术性方式 难得的佳作,positive,0.9987,zh,成功
图图爱吃酸🍋,5,2025-11-19 13:59:08,0,艾伦，你也会喜欢这样的结局吧,positive,0.8765,zh,成功
guang,5,2025-11-19 01:54:59,0,艾伦没和Mikasa在一起，这我有点受不了啊,negative,0.8764,zh,成功
芋圆,5,2025-11-16 14:22:43,0,不舍得看 但是必须五星QAQ,positive,0.9568,zh,成功
relax,4,2025-11-20 14:02:16,0,结局有鲁鲁修的影子,neutral,0.75,zh,成功
板栗酱,5,2025-07-01 09:19:40,0,21年追漫画第一时间看到结局直接抑郁了两个月，那时候暗暗下决心绝对不会看动漫了。但here we are，算给那时候的自己一个closure,negative,0.8764,zh,成功
不爱吃饭的瘦子,5,2025-10-13 19:00:01,0,最后的反战画面，坟墓下艾伦的无头之身，神作,,,,失败：Expecting value: line 1 column 1 (char 0
卧秋,4,2025-11-15 20:14:35,0,哪怕我是抱着偏见去看这部作品，依然揪不出太多毛病，还有，这部作品并没有烂尾,positive,0.9236,zh,成功
稀客,5,2025-11-13 00:52:20,0,神鬼二象性。,neutral,0.5,zh,成功
ink,5,2025-11-14 19:22:37,0,画风 就像再也回不来的战士们,positive,0.7568,zh,成功
cglover,4,2025-11-12 19:46:41,0,踩踩踩,negative,0.8563,zh,成功
酒精消毒棉片,4,2025-11-13 22:04:14,0,tv完结篇总集,neutral,0.5,zh,成功
